inflow,rep,update,partner,task_NOT,task_NAND,task_AND,task_ORN,task_OR,task_ANDN,task_NOR,task_XOR,task_EQU
100,12,35000,symbiont,0,0,0,0,0,0,0,0,0
100,12,36000,host,19901,11,0,9,3,4,2,0,0
100,12,36000,symbiont,0,0,0,0,0,0,0,0,0
100,12,37000,host,19998,15,1,2,5,0,2,0,0
100,12,37000,symbiont,0,0,0,0,0,0,0,0,0
100,12,38000,host,19872,11,1,13,0,2,4,0,0
100,12,38000,symbiont,0,0,0,0,0,0,0,0,0
100,12,39000,host,19913,5,1,14,2,1,2,0,0
100,12,39000,symbiont,0,0,0,0,0,0,0,0,0
100,12,40000,host,19949,13,2,5,2,4,0,0,0
100,12,40000,symbiont,0,0,0,0,0,0,0,0,0
100,12,41000,host,20004,22,1,5,0,3,0,0,0
100,12,41000,symbiont,0,0,0,0,0,0,0,0,0
100,12,42000,host,19964,8,1,5,3,2,3,0,0
100,12,42000,symbiont,0,0,0,0,0,0,0,0,0
100,12,43000,host,20001,12,1,3,3,0,2,0,0
100,12,43000,symbiont,0,0,0,0,0,0,0,0,0
100,12,44000,host,19944,13,2,3,3,2,3,0,0
100,12,44000,symbiont,0,0,0,0,0,0,0,0,0
100,12,45000,host,19898,16,1,9,6,2,1,0,0
100,12,45000,symbiont,0,0,0,0,0,0,0,0,0
100,12,46000,host,19880,20,1,7,5,1,5,0,0
100,12,46000,symbiont,0,0,0,0,0,0,0,0,0
100,12,47000,host,19936,10,1,10,3,0,3,0,0
100,12,47000,symbiont,0,0,0,0,0,0,0,0,0
100,12,48000,host,19965,13,1,9,2,1,1,0,0
100,12,48000,symbiont,0,0,0,0,0,0,0,0,0
100,12,49000,host,19942,13,2,7,4,1,3,0,0
100,12,49000,symbiont,0,0,0,0,0,0,0,0,0
100,12,50000,host,19968,18,1,4,2,4,0,0,0
100,12,50000,symbiont,0,0,0,0,0,0,0,0,0
250,10,0,host,0,0,0,0,0,0,0,0,0
250,10,0,symbiont,0,0,0,0,0,0,0,0,0
250,10,1000,host,52084,63,6,13,7,0,0,0,0
250,10,1000,symbiont,0,0,0,0,0,0,0,0,0
250,10,2000,host,49979,54,4,11,9,2,1,0,0
250,10,2000,symbiont,0,0,0,0,0,0,0,0,0
250,10,3000,host,49941,58,6,15,11,0,1,0,0
250,10,3000,symbiont,0,0,0,0,0,0,0,0,0
250,10,4000,host,49969,67,4,7,8,5,1,0,0
250,10,4000,symbiont,0,0,0,0,0,0,0,0,0
250,10,5000,host,49934,53,2,21,9,1,2,0,0
250,10,5000,symbiont,0,0,0,0,0,0,0,0,0
250,10,6000,host,49912,42,4,11,8,2,3,0,0
250,10,6000,symbiont,0,0,0,0,0,0,0,0,0
250,10,7000,host,49950,37,6,10,8,1,5,0,0
250,10,7000,symbiont,0,0,0,0,0,0,0,0,0
250,10,8000,host,50055,33,2,13,4,1,1,0,0
250,10,8000,symbiont,0,0,0,0,0,0,0,0,0
250,10,9000,host,49964,29,8,9,9,2,2,0,0
250,10,9000,symbiont,0,0,0,0,0,0,0,0,0
250,10,10000,host,49819,36,6,13,8,5,5,0,0
250,10,10000,symbiont,0,0,0,0,0,0,0,0,0
250,10,11000,host,49831,36,2,11,8,9,3,0,0
250,10,11000,symbiont,0,0,0,0,0,0,0,0,0
250,10,12000,host,49745,36,7,14,10,4,4,0,0
250,10,12000,symbiont,0,0,0,0,0,0,0,0,0
250,10,13000,host,49720,26,3,17,13,3,5,0,0
250,10,13000,symbiont,0,0,0,0,0,0,0,0,0
250,10,14000,host,49648,29,5,11,13,7,5,0,0
250,10,14000,symbiont,0,0,0,0,0,0,0,0,0
250,10,15000,host,49860,36,3,11,11,1,3,0,0
250,10,15000,symbiont,0,0,0,0,0,0,0,0,0
250,10,16000,host,49620,125,2,16,14,5,3,0,0
250,10,16000,symbiont,0,0,0,0,0,0,0,0,0
250,10,17000,host,49525,149,7,22,10,6,3,0,0
250,10,17000,symbiont,0,0,0,0,0,0,0,0,0
250,10,18000,host,49527,156,4,13,11,6,6,0,0
250,10,18000,symbiont,0,0,0,0,0,0,0,0,0
250,10,19000,host,49499,232,7,13,14,2,3,0,0
250,10,19000,symbiont,0,0,0,0,0,0,0,0,0
250,10,20000,host,49448,231,6,13,14,5,4,0,0
250,10,20000,symbiont,0,0,0,0,0,0,0,0,0
250,10,21000,host,49140,233,7,26,15,6,9,0,0
250,10,21000,symbiont,0,0,0,0,0,0,0,0,0
250,10,22000,host,49368,223,10,27,7,4,7,0,0
250,10,22000,symbiont,0,0,0,0,0,0,0,0,0
250,10,23000,host,49044,218,9,29,11,16,8,0,0
250,10,23000,symbiont,0,0,0,0,0,0,0,0,0
250,10,24000,host,49462,198,8,26,8,5,3,0,0
250,10,24000,symbiont,0,0,0,0,0,0,0,0,0
250,10,25000,host,49358,216,5,12,10,9,8,0,0
250,10,25000,symbiont,0,0,0,0,0,0,0,0,0
250,10,26000,host,49589,201,7,13,12,4,2,0,0
250,10,26000,symbiont,0,0,0,0,0,0,0,0,0
250,10,27000,host,49371,222,9,16,10,7,6,0,0
250,10,27000,symbiont,0,0,0,0,0,0,0,0,0
250,10,28000,host,49389,199,7,13,12,9,5,0,0
250,10,28000,symbiont,0,0,0,0,0,0,0,0,0
250,10,29000,host,49282,205,10,23,13,2,7,0,0
250,10,29000,symbiont,0,0,0,0,0,0,0,0,0
250,10,30000,host,49319,207,4,15,17,7,6,0,0
250,10,30000,symbiont,0,0,0,0,0,0,0,0,0
250,10,31000,host,49406,221,7,17,11,6,4,0,0
250,10,31000,symbiont,0,0,0,0,0,0,0,0,0
250,10,32000,host,49461,234,6,17,12,6,1,0,0
250,10,32000,symbiont,0,0,0,0,0,0,0,0,0
250,10,33000,host,49190,231,6,19,17,12,6,0,0
250,10,33000,symbiont,0,0,0,0,0,0,0,0,0
250,10,34000,host,49332,216,6,18,12,8,6,0,0
250,10,34000,symbiont,0,0,0,0,0,0,0,0,0
250,10,35000,host,49348,220,2,16,18,6,4,0,0
250,10,35000,symbiont,0,0,0,0,0,0,0,0,0
250,10,36000,host,49294,196,16,25,7,12,5,0,0
250,10,36000,symbiont,0,0,0,0,0,0,0,0,0
250,10,37000,host,49143,193,5,22,16,11,10,0,0
250,10,37000,symbiont,0,0,0,0,0,0,0,0,0
250,10,38000,host,49154,201,9,22,12,8,10,0,0
250,10,38000,symbiont,0,0,0,0,0,0,0,0,0
250,10,39000,host,49322,201,7,23,10,7,5,0,0
250,10,39000,symbiont,0,0,0,0,0,0,0,0,0
250,10,40000,host,49426,218,2,23,5,9,3,0,0
250,10,40000,symbiont,0,0,0,0,0,0,0,0,0
250,10,41000,host,49096,226,11,19,19,8,7,0,0
250,10,41000,symbiont,0,0,0,0,0,0,0,0,0
250,10,42000,host,48883,335,14,25,17,5,9,0,0
250,10,42000,symbiont,0,0,0,0,0,0,0,0,0
250,10,43000,host,49048,354,6,23,14,7,7,0,0
250,10,43000,symbiont,0,0,0,0,0,0,0,0,0
250,10,44000,host,48943,324,12,22,21,8,7,0,0
250,10,44000,symbiont,0,0,0,0,0,0,0,0,0
