vres,rep,update,partner,donate_calls,donated,earned,task_NOT,task_NAND,task_AND,task_ORN,task_OR,task_ANDN,task_NOR,task_XOR,task_EQU
No symbiont,16,100000,host,0,0,0,427633,87350,31762,181088,17154,518,257,20,12
No symbiont,16,105000,host,0,0,0,399043,77882,22833,175767,26694,563,264,20,4
No symbiont,16,110000,host,0,0,0,347830,80486,9217,204032,21461,1650,200,28,6
No symbiont,16,115000,host,0,0,0,334011,82360,12048,202022,21998,1397,203,17,7
No symbiont,16,120000,host,0,0,0,362887,87386,6616,227838,6292,516,2343,27,7
No symbiont,16,125000,host,0,0,0,345882,87148,1396,224683,10378,535,2935,37,13
No symbiont,16,130000,host,0,0,0,295315,71403,885,250700,7148,523,305,16,6
No symbiont,16,135000,host,0,0,0,233414,56683,1061,264834,5068,445,192,16,5
No symbiont,16,140000,host,0,0,0,179559,43557,2808,276285,2810,408,203,14,2
No symbiont,16,145000,host,0,0,0,163983,32218,567,284874,1302,418,188,16,2
No symbiont,16,150000,host,0,0,0,132321,27556,567,290714,730,402,194,17,3
No symbiont,16,155000,host,0,0,0,140483,33464,1033,288325,765,394,190,33,7
No symbiont,16,160000,host,0,0,0,102734,36748,7463,287117,571,312,160,21,0
No symbiont,16,165000,host,0,0,0,88360,40058,20792,275613,506,215,131,20,4
No symbiont,16,170000,host,0,0,0,88602,36107,1222,295763,492,236,111,28,7
No symbiont,16,175000,host,0,0,0,80369,28856,246,299187,380,188,98,21,1
No symbiont,16,180000,host,0,0,0,61227,32204,321,301414,318,143,111,21,3
No symbiont,16,185000,host,0,0,0,71949,54957,3315,293190,576,219,108,35,1
No symbiont,16,190000,host,0,0,0,69571,60667,872,295118,575,268,97,47,0
No symbiont,16,195000,host,0,0,0,70434,49236,359,297165,578,236,85,39,0
No symbiont,16,200000,host,0,0,0,57734,36677,240,301083,399,199,94,22,4
No symbiont,17,0,host,0,0,0,0,0,0,0,0,0,0,0,0
No symbiont,17,5000,host,0,0,0,2.47294e+06,1790,695,711,786,140,94,0,0
No symbiont,17,10000,host,0,0,0,2.47085e+06,3855,562,687,609,213,147,0,0
No symbiont,17,15000,host,0,0,0,2.18665e+06,6033,501,868,637,237,204,0,1
No symbiont,17,20000,host,0,0,0,1.81263e+06,6293,394,800,561,250,229,0,0
No symbiont,17,25000,host,0,0,0,1.62099e+06,9068,360,823,530,284,255,1,1
No symbiont,17,30000,host,0,0,0,1.48595e+06,12824,386,859,605,313,274,1,0
No symbiont,17,35000,host,0,0,0,1.39339e+06,12938,447,992,699,578,279,2,0
No symbiont,17,40000,host,0,0,0,1.32231e+06,16917,484,1167,782,2211,342,0,1
No symbiont,17,45000,host,0,0,0,1.27937e+06,27539,604,1217,838,1346,388,3,0
No symbiont,17,50000,host,0,0,0,1.25852e+06,33865,622,1326,904,526,391,7,1
No symbiont,17,55000,host,0,0,0,1.23703e+06,31094,1148,2544,1056,552,449,4,0
No symbiont,17,60000,host,0,0,0,1.21093e+06,30271,1134,4112,1152,689,512,8,1
No symbiont,17,65000,host,0,0,0,1.18548e+06,26666,915,6066,1249,627,478,6,0
No symbiont,17,70000,host,0,0,0,1.19172e+06,32443,1056,6006,1438,767,578,7,1
No symbiont,17,75000,host,0,0,0,1.17563e+06,29543,1136,6036,1666,870,613,5,4
No symbiont,17,80000,host,0,0,0,1.15737e+06,36599,1256,6564,1710,980,623,8,1
No symbiont,17,85000,host,0,0,0,1.12505e+06,39975,1398,9135,1921,1036,700,13,1
No symbiont,17,90000,host,0,0,0,1.09534e+06,43312,1392,6679,2001,1130,678,14,0
No symbiont,17,95000,host,0,0,0,1.07008e+06,52208,1490,5705,2108,1117,685,8,1
