rep, VT_rate, phenotype, count, partner
23, NONE, 0000000000000000000000000000000000000000000000000000000000001000, 29, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000000110, 517, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000000000, 7442, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000010111, 2, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000000001, 854, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000011000, 2, host
23, NONE, 0000000000000000000000000000000000000000000000000000000010000110, 1, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000010011, 1, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000010010, 1, host
23, NONE, 0000000000000000000000000000000000000000000000000000000001000001, 3, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000000010, 741, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000000100, 231, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000110100, 1, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000000101, 11, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000000111, 19, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000010001, 4, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000001001, 10, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000100000, 16, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000010100, 5, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000100010, 6, host
24, NONE, 0000000000000000000000000000000000000000000000000000000000000000, 10000, host
25, NONE, 0000000000000000000000000000000000000000000000000000000010000010, 1, host
25, NONE, 0000000000000000000000000000000000000000000000000000000001010001, 1, host
25, NONE, 0000000000000000000000000000000000000000000000000000000000100010, 3, host
25, NONE, 0000000000000000000000000000000000000000000000000000000000101001, 1, host
25, NONE, 0000000000000000000000000000000000000000000000000000000001000000, 1, host
25, NONE, 0000000000000000000000000000000000000000000000000000000000011100, 1, host
25, NONE, 0000000000000000000000000000000000000000000000000000000000010011, 3, host
25, NONE, 0000000000000000000000000000000000000000000000000000000000001100, 1, host
25, NONE, 0000000000000000000000000000000000000000000000000000000000000011, 46, host
