VT_rate, phenotype, sum_count, partner
0.2, 0000000000000000000000000000000000000000000000000000000001000010, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000000101011, 2, sym
0.2, 0000000000000000000000000000000000000000000000000000000000010111, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000000010101, 5, sym
0.2, 0000000000000000000000000000000000000000000000000000000000011101, 2, sym
0.2, 0000000000000000000000000000000000000000000000000000000010001110, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000001000000, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000010001010, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000001000101, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000001010101, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000001001101, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000000111001, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000100011000, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000000101000, 2, sym
0.2, 0000000000000000000000000000000000000000000000000000000000100101, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000000001111, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000101000001, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000100001000, 1, sym
0.8, 0000000000000000000000000000000000000000000000000000000000000000, 174715, host
0.8, 0000000000000000000000000000000000000000000000000000000000010101, 11, host
0.8, 0000000000000000000000000000000000000000000000000000000000011010, 4, host
0.8, 0000000000000000000000000000000000000000000000000000000000100001, 28, host
0.8, 0000000000000000000000000000000000000000000000000000000001000101, 7, host
0.8, 0000000000000000000000000000000000000000000000000000000000010110, 6, host
0.8, 0000000000000000000000000000000000000000000000000000000010111011, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000000011000, 36, host
0.8, 0000000000000000000000000000000000000000000000000000000000001100, 16, host
0.8, 0000000000000000000000000000000000000000000000000000000000000111, 47, host
0.8, 0000000000000000000000000000000000000000000000000000000000001000, 736, host
0.8, 0000000000000000000000000000000000000000000000000000000000000100, 303, host
0.8, 0000000000000000000000000000000000000000000000000000000000001001, 1059, host
0.8, 0000000000000000000000000000000000000000000000000000000000100000, 134, host
0.8, 0000000000000000000000000000000000000000000000000000000000000011, 691, host
0.8, 0000000000000000000000000000000000000000000000000000000000001011, 125, host
0.8, 0000000000000000000000000000000000000000000000000000000000100010, 21, host
0.8, 0000000000000000000000000000000000000000000000000000000000000010, 4156, host
0.8, 0000000000000000000000000000000000000000000000000000000000011001, 68, host
0.8, 0000000000000000000000000000000000000000000000000000000000000001, 15212, host
0.8, 0000000000000000000000000000000000000000000000000000000000000110, 517, host
0.8, 0000000000000000000000000000000000000000000000000000000000001010, 844, host
0.8, 0000000000000000000000000000000000000000000000000000000000000101, 49, host
0.8, 0000000000000000000000000000000000000000000000000000000010000110, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000000010010, 19, host
0.8, 0000000000000000000000000000000000000000000000000000000001000001, 21, host
0.8, 0000000000000000000000000000000000000000000000000000000000010011, 15, host
0.8, 0000000000000000000000000000000000000000000000000000000000010100, 51, host
0.8, 0000000000000000000000000000000000000000000000000000000000010001, 676, host
0.8, 0000000000000000000000000000000000000000000000000000000000010000, 362, host
0.8, 0000000000000000000000000000000000000000000000000000000000001110, 5, host
0.8, 0000000000000000000000000000000000000000000000000000000000011100, 3, host
0.8, 0000000000000000000000000000000000000000000000000000000000010111, 2, host
0.8, 0000000000000000000000000000000000000000000000000000000000101001, 12, host
0.8, 0000000000000000000000000000000000000000000000000000000001001101, 3, host
0.8, 0000000000000000000000000000000000000000000000000000000000101000, 3, host
0.8, 0000000000000000000000000000000000000000000000000000000000001101, 5, host
0.8, 0000000000000000000000000000000000000000000000000000000001001001, 3, host
0.8, 0000000000000000000000000000000000000000000000000000000000100011, 6, host
0.8, 0000000000000000000000000000000000000000000000000000000000110001, 3, host
0.8, 0000000000000000000000000000000000000000000000000000000000011011, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000001001011, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000001000000, 3, host
0.8, 0000000000000000000000000000000000000000000000000000000001110001, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000001010001, 2, host
0.8, 0000000000000000000000000000000000000000000000000000000000110000, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000000111001, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000001011001, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000000100110, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000000100100, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000001001000, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000010000000, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000000001111, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000001010011, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000001000011, 3, host
0.8, 0000000000000000000000000000000000000000000000000000000010001010, 3, host
0.8, 0000000000000000000000000000000000000000000000000000000010000010, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000000000000, 169646, sym
0.8, 0000000000000000000000000000000000000000000000000000000000100010, 13, sym
0.8, 0000000000000000000000000000000000000000000000000000000000001100, 12, sym
0.8, 0000000000000000000000000000000000000000000000000000000000000110, 278, sym
0.8, 0000000000000000000000000000000000000000000000000000000000010001, 164, sym
0.8, 0000000000000000000000000000000000000000000000000000000000010100, 61, sym
0.8, 0000000000000000000000000000000000000000000000000000000000000101, 30, sym
0.8, 0000000000000000000000000000000000000000000000000000000000000010, 1714, sym
0.8, 0000000000000000000000000000000000000000000000000000000000010000, 286, sym
0.8, 0000000000000000000000000000000000000000000000000000000000011000, 23, sym
0.8, 0000000000000000000000000000000000000000000000000000000000000001, 7974, sym
0.8, 0000000000000000000000000000000000000000000000000000000010001010, 1, sym
0.8, 0000000000000000000000000000000000000000000000000000000000001000, 289, sym
0.8, 0000000000000000000000000000000000000000000000000000000000000100, 314, sym
0.8, 0000000000000000000000000000000000000000000000000000000001000000, 5, sym
0.8, 0000000000000000000000000000000000000000000000000000000000100000, 111, sym
0.8, 0000000000000000000000000000000000000000000000000000000000001001, 473, sym
0.8, 0000000000000000000000000000000000000000000000000000000000000011, 284, sym
0.8, 0000000000000000000000000000000000000000000000000000000000000111, 26, sym
0.8, 0000000000000000000000000000000000000000000000000000000000010011, 7, sym
0.8, 0000000000000000000000000000000000000000000000000000000000001110, 2, sym
0.8, 0000000000000000000000000000000000000000000000000000000000011010, 1, sym
0.8, 0000000000000000000000000000000000000000000000000000000000001010, 142, sym
0.8, 0000000000000000000000000000000000000000000000000000000000100001, 20, sym
0.8, 0000000000000000000000000000000000000000000000000000000010000010, 3, sym
0.8, 0000000000000000000000000000000000000000000000000000000000110000, 1, sym
0.8, 0000000000000000000000000000000000000000000000000000000000011001, 4, sym
0.8, 0000000000000000000000000000000000000000000000000000000000011100, 1, sym
0.8, 0000000000000000000000000000000000000000000000000000000000001101, 5, sym
0.8, 0000000000000000000000000000000000000000000000000000000001010111, 1, sym
0.8, 0000000000000000000000000000000000000000000000000000000000001011, 29, sym
0.8, 0000000000000000000000000000000000000000000000000000000000010101, 2, sym
0.8, 0000000000000000000000000000000000000000000000000000000000100011, 3, sym
0.8, 0000000000000000000000000000000000000000000000000000000000001111, 1, sym
0.8, 0000000000000000000000000000000000000000000000000000000000010111, 1, sym
0.8, 0000000000000000000000000000000000000000000000000000000000010110, 3, sym
0.8, 0000000000000000000000000000000000000000000000000000000000010010, 7, sym
0.8, 0000000000000000000000000000000000000000000000000000000001010001, 2, sym
0.8, 0000000000000000000000000000000000000000000000000000000000101011, 1, sym
0.8, 0000000000000000000000000000000000000000000000000000000000110001, 1, sym
0.8, 0000000000000000000000000000000000000000000000000000000001000011, 1, sym
0.8, 0000000000000000000000000000000000000000000000000000000000101001, 3, sym
0.8, 0000000000000000000000000000000000000000000000000000000000011101, 2, sym
0.8, 0000000000000000000000000000000000000000000000000000000001001001, 5, sym
0.8, 0000000000000000000000000000000000000000000000000000000000111001, 1, sym
0.8, 0000000000000000000000000000000000000000000000000000000001000001, 8, sym
