partner vertical_transmission update squareNum completions
Host 0.2 80000 74529 1
Host 0.2 80000 80089 1
Host 0.2 80000 81796 1
Host 0.2 80000 88804 1
Host 0.2 80000 103684 1
Host 0.2 80000 106276 1
Host 0.2 80000 118336 1
Host 0.2 80000 126025 1
Host 0.2 80000 138384 1
Host 0.2 80000 142129 1
Host 0.2 80000 177241 1
Host 0.2 80000 179776 1
Host 0.2 80000 193600 1
Host 0.2 80000 198916 1
Host 0.2 80000 205209 1
Host 0.2 80000 207025 1
Host 0.2 80000 213444 1
Host 0.2 80000 248004 1
Host 0.2 80000 287296 1
Host 0.2 80000 312481 1
Host 0.2 80000 314721 1
Host 0.2 80000 318096 1
Host 0.2 80000 335241 1
Host 0.2 80000 355216 1
Host 0.2 80000 380689 1
Host 0.2 80000 389376 1
Host 0.2 80000 413449 1
Host 0.2 80000 492804 1
Host 0.2 80000 498436 1
Host 0.2 80000 499849 1
Host 0.2 80000 504100 1
Host 0.2 80000 550564 1
Host 0.2 80000 576081 1
Host 0.2 80000 591361 1
Host 0.2 80000 617796 1
Host 0.2 80000 620944 1
Host 0.2 80000 627264 1
Host 0.2 80000 1073807361 9
Host 0.2 80000 6241 1
Host 0.2 80000 7569 1
Host 0.2 100000 4 266341
Host 0.2 100000 9 16387
Host 0.2 100000 16 29117
Host 0.2 100000 25 2185
Host 0.2 100000 36 1234
Host 0.2 100000 49 690
Host 0.2 100000 64 8476
Host 0.2 100000 81 402
Host 0.2 100000 100 330
Host 0.2 100000 121 249
Host 0.2 100000 144 204
Host 0.2 100000 169 173
Host 0.2 100000 196 168
Host 0.2 100000 225 175
Host 0.2 100000 256 3869
Host 0.2 100000 289 135
Host 0.2 100000 324 115
Host 0.2 100000 361 99
Host 0.2 100000 400 107
Host 0.2 100000 441 105
Host 0.2 100000 484 74
Host 0.2 100000 529 71
Host 0.2 100000 576 74
Host 0.2 100000 625 75
Host 0.2 100000 676 67
Host 0.2 100000 729 44
Host 0.2 100000 784 48
Host 0.2 100000 841 56
Host 0.2 100000 900 76
Host 0.2 100000 961 56
Host 0.2 100000 1024 2437
Host 0.2 100000 1089 47
Host 0.2 100000 1156 28
Host 0.2 100000 1225 32
Host 0.2 100000 1296 37
Host 0.2 100000 1369 33
Host 0.2 100000 1444 29
Host 0.2 100000 1521 42
Host 0.2 100000 1600 21
Host 0.2 100000 1681 19
Host 0.2 100000 1764 22
Host 0.2 100000 1849 18
Host 0.2 100000 1936 15
Host 0.2 100000 2025 29
Host 0.2 100000 2116 17
Host 0.2 100000 2209 13
Host 0.2 100000 2304 21
Host 0.2 100000 2401 17
Host 0.2 100000 2500 11
Host 0.2 100000 2601 11
Host 0.2 100000 2704 10
Host 0.2 100000 2809 7
Host 0.2 100000 2916 9
Host 0.2 100000 3025 7
Host 0.2 100000 3249 14
Host 0.2 100000 3364 4
Host 0.2 100000 3481 5
Host 0.2 100000 3600 9
Host 0.2 100000 3721 2
Host 0.2 100000 3844 8
Host 0.2 100000 3969 7
Host 0.2 100000 4096 1948
Host 0.2 100000 4225 3
Host 0.2 100000 4761 2
Host 0.2 100000 4900 11
Host 0.2 100000 5041 3
Host 0.2 100000 5329 2
Host 0.2 100000 5625 4
Host 0.2 100000 5776 4
Host 0.2 100000 5929 1
Host 0.2 100000 6084 3
Host 0.2 100000 6241 1
Host 0.2 100000 6561 5
Host 0.2 100000 6889 2
Host 0.2 100000 7225 2
Host 0.2 100000 7569 4
Host 0.2 100000 7921 2
Host 0.2 100000 14400 2
Host 0.2 100000 16384 8661
Host 0.2 100000 32761 37
Host 0.2 100000 33856 3
Host 0.2 100000 65536 3864
Host 0.2 100000 160000 13
Host 0.2 100000 262144 922
Host 0.2 100000 1048576 896
Host 0.2 100000 4194304 667
Host 0.2 100000 6553600 13
Host 0.2 100000 16777216 669
Host 0.2 100000 67108864 925
Host 0.2 100000 268435456 5183
Host 0.2 100000 1073741824 377382
Host 0.2 100000 4261478400 1
Host 0.2 100000 4294705156 59
Host 0.2 100000 3136 4
Host 0.2 100000 4356 4
Host 0.2 100000 4489 1
Host 0.2 100000 4624 4
Host 0.2 100000 5184 6
Host 0.2 100000 5476 3
Host 0.2 100000 6400 2
Host 0.2 100000 6724 2
Host 0.2 100000 7056 4
Host 0.2 100000 7396 3
Host 0.2 100000 7744 4
Host 0.2 100000 8100 1
Host 0.2 100000 8464 1
Host 0.2 100000 8649 1
Host 0.2 100000 8836 1
Host 0.2 100000 9025 1
Host 0.2 100000 9409 1
Host 0.2 100000 9604 1
Host 0.2 100000 9801 1
Host 0.2 100000 10000 1
Host 0.2 100000 10609 2
Host 0.2 100000 10816 1
Host 0.2 100000 603979776 4
Host 0.2 100000 2218786816 1
Host 0.2 100000 4294836225 361
Host 0.2 100000 2415919104 23
Host 0.2 100000 3288334336 2
Host 0.2 100000 49729 1
Host 0.2 100000 2147488281 2
Host 0.2 100000 2423789824 1
Host 0.2 100000 1073676289 25
Host 0.2 100000 26244 1
Host 0.2 100000 59049 1
Host 0.2 100000 4782969 1
Host 0.2 100000 43046721 1
Host 0.2 100000 387420489 1
Host 0.2 100000 15876 1
Host 0.2 100000 64516 1
Host 0.2 100000 260100 9
Host 0.2 100000 32400 3
Host 0.2 100000 33124 3
Host 0.2 100000 2096704 1
Host 0.2 100000 4198401 1
Host 0.2 100000 67125249 22
Host 0.2 100000 268468225 21
Host 0.2 100000 1073807361 4
Host 0.2 100000 1677721600 5
Host 0.2 100000 4153444 1
Host 0.2 100000 62500 1
Host 0.2 100000 65025 5
Host 0.2 100000 1358954496 1
Host 0.2 100000 2030043136 1
Host 0.2 100000 2123366400 1
Host 0.2 100000 2147024896 3
Host 0.2 100000 41616 1
Host 0.2 100000 46656 1
Host 0.2 100000 16129 1
Host 0.2 100000 11881 1
Host 0.2 100000 12100 1
Host 0.2 100000 12769 1
Host 0.2 100000 14161 1
Host 0.2 100000 33489 1
Host 0.2 100000 391876 1
Host 0.2 100000 646416 1
Host 0.2 100000 737881 1
Host 0.2 100000 777924 1
Host 0.2 100000 815409 1
Host 0.2 100000 822649 1
Host 0.2 100000 868624 1
Host 0.2 100000 877969 1
Host 0.2 100000 933156 1
Host 0.2 100000 966289 1
Host 0.2 100000 978121 1
Host 0.2 100000 1034289 1
Host 0.2 100000 1077444 1
Host 0.2 100000 1113025 1
Host 0.2 100000 1218816 1
Host 0.2 100000 1245456 1
Host 0.2 100000 1249924 1
Host 0.2 100000 1265625 1
Host 0.2 100000 1317904 1
Host 0.2 100000 1408969 1
Host 0.2 100000 1597696 1
Host 0.2 100000 1630729 1
Host 0.2 100000 1682209 1
Host 0.2 100000 1684804 1
Host 0.2 100000 1692601 1
Host 0.2 100000 1695204 1
Host 0.2 100000 1731856 1
Host 0.2 100000 1763584 1
Host 0.2 100000 2170814464 1
Host 0.2 100000 4294443024 1
Host 0.2 100000 32041 1
Host 0.2 120000 4 255479
Host 0.2 120000 9 19462
Host 0.2 120000 16 17045
Host 0.2 120000 25 2217
Host 0.2 120000 36 1374
Host 0.2 120000 49 751
Host 0.2 120000 64 6884
Host 0.2 120000 81 417
Host 0.2 120000 100 326
Host 0.2 120000 121 224
Host 0.2 120000 144 223
Host 0.2 120000 169 194
Host 0.2 120000 196 186
Host 0.2 120000 225 177
Host 0.2 120000 256 3916
Host 0.2 120000 289 107
Host 0.2 120000 324 114
Host 0.2 120000 361 80
Host 0.2 120000 400 80
Host 0.2 120000 441 91
Host 0.2 120000 484 78
Host 0.2 120000 529 67
Host 0.2 120000 576 55
Host 0.2 120000 625 60
Host 0.2 120000 676 55
Host 0.2 120000 729 49
Host 0.2 120000 784 53
Host 0.2 120000 841 43
Host 0.2 120000 900 53
Host 0.2 120000 961 37
Host 0.2 120000 1024 2580
Host 0.2 120000 1089 29
Host 0.2 120000 1156 40
Host 0.2 120000 1225 31
Host 0.2 120000 1296 33
Host 0.2 120000 1369 28
Host 0.2 120000 1444 34
Host 0.2 120000 1521 23
Host 0.2 120000 1600 25
Host 0.2 120000 1681 15
Host 0.2 120000 1764 21
Host 0.2 120000 1849 17
Host 0.2 120000 1936 16
Host 0.2 120000 2025 8
Host 0.2 120000 2116 17
Host 0.2 120000 2209 12
Host 0.2 120000 2304 13
Host 0.2 120000 2401 8
Host 0.2 120000 2500 15
Host 0.2 120000 2601 6
Host 0.2 120000 2704 9
Host 0.2 120000 2916 7
Host 0.2 120000 3136 6
Host 0.2 120000 3249 8
Host 0.2 120000 3364 9
Host 0.2 120000 3481 2
Host 0.2 120000 3600 5
Host 0.2 120000 3721 3
Host 0.2 120000 3844 6
Host 0.2 120000 3969 3
Host 0.2 120000 4096 1922
Host 0.2 120000 4225 2
Host 0.2 120000 4356 6
Host 0.2 120000 4489 3
Host 0.2 120000 4624 5
Host 0.2 120000 4761 3
Host 0.2 120000 4900 2
Host 0.2 120000 5041 1
Host 0.2 120000 5184 4
Host 0.2 120000 5329 5
Host 0.2 120000 5476 5
Host 0.2 120000 5625 6
Host 0.2 120000 5776 6
