vert,rep,update,partner,donate_calls,donated,earned,task_NOT,task_NAND,task_AND,task_ORN,task_OR,task_ANDN,task_NOR,task_XOR,task_EQU
No symbiont,13,80000,host,0,0,0,1.11133e+06,35384,1705,3190,1620,816,621,15,2
No symbiont,13,85000,host,0,0,0,1.07684e+06,38161,2109,4187,1620,950,636,10,1
No symbiont,13,90000,host,0,0,0,1.09784e+06,48886,2182,7857,1805,998,670,16,2
No symbiont,13,95000,host,0,0,0,1.09749e+06,53663,2054,16408,2038,1141,649,22,2
No symbiont,13,100000,host,0,0,0,1.09657e+06,66113,2238,27433,2949,1179,777,19,4
No symbiont,13,105000,host,0,0,0,1.0383e+06,94691,2378,54590,3579,1263,1288,18,10
No symbiont,13,110000,host,0,0,0,974250,133133,2644,191344,3805,1363,3536,35,13
No symbiont,13,115000,host,0,0,0,1.02354e+06,182045,4995,512113,6468,1879,4033,63,18
No symbiont,13,120000,host,0,0,0,1.14921e+06,218042,5620,1.17603e+06,9999,2132,2707,78,21
No symbiont,13,125000,host,0,0,0,580758,104807,4448,1.18629e+06,7866,1274,844,38,7
No symbiont,13,130000,host,0,0,0,122962,21688,623,291742,995,422,270,17,7
No symbiont,13,135000,host,0,0,0,120547,17182,581,292848,942,442,236,8,9
No symbiont,13,140000,host,0,0,0,115549,21862,602,291597,1570,392,231,14,16
No symbiont,13,145000,host,0,0,0,116970,19150,634,292805,956,482,276,13,14
No symbiont,13,150000,host,0,0,0,100355,16461,525,296086,733,454,229,21,9
No symbiont,13,155000,host,0,0,0,67925,11448,373,302308,482,294,175,14,4
No symbiont,13,160000,host,0,0,0,72118,9838,340,302273,439,257,157,12,2
No symbiont,13,165000,host,0,0,0,66401,9936,366,302870,437,280,168,14,3
No symbiont,13,170000,host,0,0,0,60553,12729,317,303398,470,248,137,10,2
No symbiont,13,175000,host,0,0,0,81223,12615,459,300263,481,300,175,16,4
No symbiont,13,180000,host,0,0,0,92601,13844,518,298265,538,322,229,15,1
No symbiont,13,185000,host,0,0,0,77748,17179,11366,289059,515,266,196,34,3
No symbiont,13,190000,host,0,0,0,70257,16428,35014,266493,496,265,213,28,1
No symbiont,13,195000,host,0,0,0,54231,16353,86843,217178,442,270,156,29,6
No symbiont,13,200000,host,0,0,0,61395,18217,59886,242828,479,262,172,28,8
No symbiont,14,0,host,0,0,0,0,0,0,0,0,0,0,0,0
No symbiont,14,5000,host,0,0,0,2.48226e+06,1382,742,674,714,148,106,0,0
No symbiont,14,10000,host,0,0,0,2.4725e+06,2571,548,685,631,231,149,0,0
No symbiont,14,15000,host,0,0,0,2.17253e+06,3860,524,834,605,250,220,0,0
No symbiont,14,20000,host,0,0,0,1.84969e+06,6757,376,848,547,260,254,0,0
No symbiont,14,25000,host,0,0,0,1.62534e+06,9478,393,863,594,261,251,0,0
No symbiont,14,30000,host,0,0,0,1.49765e+06,11045,356,1085,575,271,240,1,0
No symbiont,14,35000,host,0,0,0,1.39972e+06,12375,429,1719,667,366,262,3,0
No symbiont,14,40000,host,0,0,0,1.32593e+06,12615,493,1858,723,408,352,2,0
No symbiont,14,45000,host,0,0,0,1.30928e+06,18661,590,1598,861,438,363,3,0
No symbiont,14,50000,host,0,0,0,1.26047e+06,23545,636,1304,954,496,429,4,0
No symbiont,14,55000,host,0,0,0,1.24185e+06,21507,725,1386,1123,575,441,9,0
No symbiont,14,60000,host,0,0,0,1.23576e+06,23664,798,2489,1217,647,553,7,0
No symbiont,14,65000,host,0,0,0,1.21208e+06,21701,852,2880,1354,725,594,6,0
No symbiont,14,70000,host,0,0,0,1.19706e+06,22092,989,2968,1511,768,628,7,2
No symbiont,14,75000,host,0,0,0,1.16624e+06,23366,1150,2024,1732,880,714,1,1
No symbiont,14,80000,host,0,0,0,1.15185e+06,28802,1283,2035,1848,994,726,13,0
No symbiont,14,85000,host,0,0,0,1.12767e+06,31335,1438,2529,1988,1033,738,4,1
No symbiont,14,90000,host,0,0,0,1.12368e+06,32896,1381,3887,1862,1097,746,13,0
No symbiont,14,95000,host,0,0,0,1.10319e+06,38364,1467,3220,2071,1094,750,9,0
No symbiont,14,100000,host,0,0,0,1.10292e+06,42108,1599,4756,2294,1228,797,14,0
No symbiont,14,105000,host,0,0,0,1.07318e+06,50759,1643,5626,2296,1260,810,16,4
No symbiont,14,110000,host,0,0,0,1.05106e+06,58281,1723,7559,2646,1354,867,24,0
No symbiont,14,115000,host,0,0,0,1.0527e+06,66681,2077,8708,2474,1368,835,21,1
No symbiont,14,120000,host,0,0,0,1.06796e+06,68347,1927,9024,2732,1458,935,18,4
No symbiont,14,125000,host,0,0,0,1.074e+06,78475,1918,13233,4096,1535,891,29,2
No symbiont,14,130000,host,0,0,0,1.12457e+06,136450,7025,890779,99582,1499,1001,54,8
No symbiont,14,135000,host,0,0,0,851417,150952,16200,2.18448e+06,90336,1235,1025,97,13
No symbiont,14,140000,host,0,0,0,75375,15277,199,301636,334,183,133,19,0
No symbiont,14,145000,host,0,0,0,76748,12991,179,301786,301,175,120,10,1
No symbiont,14,150000,host,0,0,0,104186,14847,273,297470,403,215,141,9,2
No symbiont,14,155000,host,0,0,0,86260,10044,227,300794,323,193,144,10,1
No symbiont,14,160000,host,0,0,0,86741,9711,233,300772,314,183,186,7,3
